============================================================
Programa 2 - Cobertura de 14 elementos
Universo U = {1..25}, candidatos S15, alvos S14
Lower bound LP: |SB| >= 297,160
============================================================

[1/3] Gerando S15 (C(25,15) = 3,268,760 elementos)...
      OK em 9.5s | memoria: 13.1 MB

[2/3] Gerando S14 (C(25,14) = 4,457,400 elementos)...
      OK em 12.2s | memoria: 17.8 MB

[3/3] Executando Greedy Set Cover (p=14)...

[Greedy] p=14 | |S15|=3,268,760 | |Sp|=4,457,400
         Cobertura por X: C(15,14)=15
         Extensoes por Y: C(11,1)=11
         Lower bound |SB| >= 297,160

  Construindo indices... OK (5.1s)
  Estrategia: heap lazy (150 updates/iter estimados)
  iter= 21400 | |SB|=21,400 | cobertos=  7.2% | novos=   15 | loop=16.0s | ETA=206s
  iter= 21500 | |SB|=21,500 | cobertos=  7.2% | novos=   15 | loop=16.0s | ETA=206s
  iter= 21600 | |SB|=21,600 | cobertos=  7.3% | novos=   15 | loop=16.1s | ETA=206s
  iter= 21700 | |SB|=21,700 | cobertos=  7.3% | novos=   15 | loop=16.2s | ETA=205s
  iter= 21800 | |SB|=21,800 | cobertos=  7.3% | novos=   15 | loop=16.3s | ETA=205s
  iter= 21900 | |SB|=21,900 | cobertos=  7.4% | novos=   15 | loop=16.3s | ETA=205s
  iter= 22000 | |SB|=22,000 | cobertos=  7.4% | novos=   15 | loop=16.4s | ETA=205s
  iter= 22100 | |SB|=22,100 | cobertos=  7.4% | novos=   15 | loop=16.5s | ETA=205s
  iter= 22200 | |SB|=22,200 | cobertos=  7.5% | novos=   15 | loop=16.6s | ETA=205s
  iter= 22300 | |SB|=22,300 | cobertos=  7.5% | novos=   15 | loop=16.7s | ETA=206s
  iter= 22400 | |SB|=22,400 | cobertos=  7.5% | novos=   15 | loop=16.8s | ETA=206s
  iter= 22500 | |SB|=22,500 | cobertos=  7.6% | novos=   15 | loop=16.8s | ETA=206s
